
Lfd.Nr.;Gewinn Losnummer;Sponsor Anrede;Sponsor Name;Sponsor Strasse;Sponsor PLZ und Ort;e-mail; Bar Spende ? ;reine Sachspende;Gewinn;Wert Spende ?;akquisiert durch wen;Lagerort Gewinn;Erfasst von:;Gewinner Anrede;Gewinner Name;Gewinner Strasse;Gewinner PLZ und Ort;ausgeliefert am;ausgeh?ndigt von;Sponsorenquittung 
137;1539;Clementine Krell;Clementine Krell;Eichenhainallee 35;51427 Bergisch Gladbach;;;Leder Portemonnaie;;;Clementine Krell;Clementine;Clementine;;;;;;;
138;6819;Clementine Krell;Clementine Krell;Eichenhainallee 35;51427 Bergisch Gladbach;;;Leder Portemonnaie;;;Clementine Krell;Clementine;Clementine;;;;;;;
139;9673;Clementine Krell;Clementine Krell;Eichenhainallee 35;51427 Bergisch Gladbach;;;Leder Portemonnaie;;;Clementine Krell;Clementine;Clementine;;;;;;;
140;3198;Clementine Krell;Clementine Krell;Eichenhainallee 35;51427 Bergisch Gladbach;;;Leder Portemonnaie;;;Clementine Krell;Clementine;Clementine;;;;;;;
141;4660;Clementine Krell;Clementine Krell;Eichenhainallee 35;51427 Bergisch Gladbach;;;Reisenthel Shopper;;;Clementine Krell;Clementine;Clementine;;;;;;;
142;4315;Clementine Krell;Clementine Krell;Eichenhainallee 35;51427 Bergisch Gladbach;;;Reisenthel Shopper;;;Clementine Krell;Clementine;Clementine;;;;;;;
143;3022;Clementine Krell;Clementine Krell;Eichenhainallee 35;51427 Bergisch Gladbach;;;Reisenthel Shopper;;;Clementine Krell;Clementine;Clementine;;;;;;;
144;6623;Clementine Krell;Clementine Krell;Eichenhainallee 35;51427 Bergisch Gladbach;;;Reisenthel Shopper;;;Clementine Krell;Clementine;Clementine;;;;;;;
145;5380;Clementine Krell;Clementine Krell;Eichenhainallee 35;51427 Bergisch Gladbach;;;Reisenthel Shopper;;;Clementine Krell;Clementine;Clementine;;;;;;;
146;2100;Clementine Krell;Clementine Krell;Eichenhainallee 35;51427 Bergisch Gladbach;;;Reisenthel Shopper;;;Clementine Krell;Clementine;Clementine;;;;;;;
147;598;Dr. Peter Eberle;Dr. Peter Eberle;Hauptstrasse 56;51491 Overath;praxis_eberle@t-online.de; 300,00 ;;Gutschein M?hlenhelle Gummersbach;;Manuela Rex-Eberle;wird pers?nlich ?bergeben;Manuela Rex-Eberle ;;;;;;;
148;8767;Regina Heckel;Schmuckst?cke Regina Heckel;Hauptstra?e 248;51503 R?srath;kontakt@schmuckstuecke-heckel.de;;Schmuckpr?sent;;;Andrea Siebert;Andrea;Andrea;;;;;;;
149;3033;Regina Heckel;Schmuckst?cke Regina Heckel;Hauptstra?e 248;51503 R?srath;kontakt@schmuckstuecke-heckel.de;;Schmuckpr?sent;;;Andrea Siebert;Andrea;Andrea;;;;;;;
150;1692;Regina Heckel;Schmuckst?cke Regina Heckel;Hauptstra?e 248;51503 R?srath;kontakt@schmuckstuecke-heckel.de;;Schmuckpr?sent;;;Andrea Siebert;Andrea;Andrea;;;;;;;
151;4935;Regina Heckel;Schmuckst?cke Regina Heckel;Hauptstra?e 248;51503 R?srath;kontakt@schmuckstuecke-heckel.de;;Schmuckpr?sent;;;Andrea Siebert;Andrea;Andrea;;;;;;;
152;412;Regina Heckel;Schmuckst?cke Regina Heckel;Hauptstra?e 248;51503 R?srath;kontakt@schmuckstuecke-heckel.de;;Schmuckpr?sent;;;Andrea Siebert;Andrea;Andrea;;;;;;;
153;8130;Regina Heckel;Schmuckst?cke Regina Heckel;Hauptstra?e 248;51503 R?srath;kontakt@schmuckstuecke-heckel.de;;Schmuckpr?sent;;;Andrea Siebert;Andrea;Andrea;;;;;;;
154;3465;Frau Mattlener/ Frau Heider;Apotheke zur alten Post;Hauptstr. 51;51503 R?srath;info@apothekezuraltenpost.de;;;Gutschein;20,00;Andrea Siebert;Andrea;Andrea;;;;;;;
155;1699;Frau Mattlener/ Frau Heider;Apotheke zur alten Post;Hauptstr. 51;51503 R?srath;info@apothekezuraltenpost.de;;;Gutschein;20,00;Andrea Siebert;Andrea;Andrea;;;;;;;
156;7895;Frau Mattlener/ Frau Heider;Apotheke zur alten Post;Hauptstr. 51;51503 R?srath;info@apothekezuraltenpost.de;;;Gutschein;20,00;Andrea Siebert;Andrea;Andrea;;;;;;;
157;7316;Frau Mattlener/ Frau Heider;Apotheke zur alten Post;Hauptstr. 51;51503 R?srath;info@apothekezuraltenpost.de;;;Gutschein;20,00;Andrea Siebert;Andrea;Andrea;;;;;;;
158;9822;Frau Mattlener/ Frau Heider;Apotheke zur alten Post;Hauptstr. 51;51503 R?srath;info@apothekezuraltenpost.de;;;Gutschein;20,00;Andrea Siebert;Andrea;Andrea;;;;;;;
159;8193;Frau Mattlener/ Frau Heider;Apotheke zur alten Post;Hauptstr. 49;51503 R?srath;info@apothekezuraltenpost.de;;;Gutschein;20,00;Andrea Siebert;Andrea;Andrea;;;;;;;
160;6610;Frau Mattlener/ Frau Heider;Apotheke zur alten Post;Hauptstr. 51;51503 R?srath;info@apothekezuraltenpost.de;;;Gutschein;20,00;Andrea Siebert;Andrea;Andrea;;;;;;;
161;9711;Frau Mattlener/ Frau Heider;Apotheke zur alten Post;Hauptstr. 51;51503 R?srath;info@apothekezuraltenpost.de;;;Gutschein;20,00;Andrea Siebert;Andrea;Andrea;;;;;;;
162;8378;Frau Mattlener/ Frau Heider;Apotheke zur alten Post;Hauptstr. 51;51503 R?srath;info@apothekezuraltenpost.de;;;Gutschein;20,00;Andrea Siebert;Andrea;Andrea;;;;;;;
163;7896;Frau Mattlener/ Frau Heider;Apotheke zur alten Post;Hauptstr. 51;51503 R?srath;info@apothekezuraltenpost.de;;;Gutschein;20,00;Andrea Siebert;Andrea;Andrea;;;;;;;
164;9484;Rewe Sauerbach;Rewe Sauerbach;Bensberger Stra?e 270;51503 R?srath;02205 9079728;;;Gutschein;10,00;Susanne Bittner;Susanne Bittner;Clementine;;;;;;;
165;7952;Rewe Sauerbach;Rewe Sauerbach;Bensberger Stra?e 270;51503 R?srath;02205 9079728;;;Gutschein;10,00;Susanne Bittner;Susanne Bittner;Clementine;;;;;;;
166;7426;Rewe Sauerbach;Rewe Sauerbach;Bensberger Stra?e 270;51503 R?srath;02205 9079728;;;Gutschein;10,00;Susanne Bittner;Susanne Bittner;Clementine;;;;;;;
167;7803;Rewe Sauerbach;Rewe Sauerbach;Bensberger Stra?e 270;51503 R?srath;02205 9079728;;;Gutschein;10,00;Susanne Bittner;Susanne Bittner;Clementine;;;;;;;
168;7497;Rewe Sauerbach;Rewe Sauerbach;Bensberger Stra?e 270;51503 R?srath;02205 9079728;;;Gutschein;10,00;Susanne Bittner;Susanne Bittner;Clementine;;;;;;;
169;6627;Rewe Sauerbach;Rewe Sauerbach;Bensberger Stra?e 270;51503 R?srath;02205 9079728;;;Gutschein;10,00;Susanne Bittner;Susanne Bittner;Clementine;;;;;;;
170;7237;Rewe Sauerbach;Rewe Sauerbach;Bensberger Stra?e 270;51503 R?srath;02205 9079728;;;Gutschein;10,00;Susanne Bittner;Susanne Bittner;Clementine;;;;;;;
171;1582;Rewe Sauerbach;Rewe Sauerbach;Bensberger Stra?e 270;51503 R?srath;02205 9079728;;;Gutschein;10,00;Susanne Bittner;Susanne Bittner;Clementine;;;;;;;
172;8949;Rewe Sauerbach;Rewe Sauerbach;Bensberger Stra?e 270;51503 R?srath;02205 9079728;;;Gutschein;10,00;Susanne Bittner;Susanne Bittner;Clementine;;;;;;;
173;7218;Rewe Sauerbach;Rewe Sauerbach;Bensberger Stra?e 270;51503 R?srath;02205 9079728;;;Gutschein;10,00;Susanne Bittner;Susanne Bittner;Clementine;;;;;;;
174;1455;Rewe Siebnmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
175;6416;Rewe Siebnmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
176;5738;Rewe Siebnmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
177;8189;Rewe Siebnmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
178;9959;Rewe Siebnmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
179;8268;Rewe Siebnmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
180;117;Rewe Siebnmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
181;6632;Rewe Siebnmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
182;6289;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
183;3240;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
184;1818;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
185;204;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
186;2184;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
187;4563;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
188;5223;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
189;3286;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
190;9022;Rewe Siebnmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
191;2566;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
192;9119;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
193;1220;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
194;4655;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
195;8819;Rewe Siebnmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
196;8857;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
197;2571;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
198;122;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
199;5111;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
20
0;3520;Rewe Siebnmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
201;8391;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
202;5205;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
203;3310;Rewe Siebenmorgen;Rewe Siebenmorgen;Siebenmorgen 40;51427 Bergisch Gladbach;02204 962437;;;Gutschein;10,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
204;7114;Uli Haeger;Intersport Haeger;Schlo?stra?e 85;51429 Bergisch Gladbach;02204 52314;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
205;4934;Uli Haeger;Intersport Haeger;Schlo?stra?e 85;51429 Bergisch Gladbach;02204 52314;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
206;4314;Uli Haeger;Intersport Haeger;Schlo?stra?e 85;51429 Bergisch Gladbach;02204 52314;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
207;258;Uli Haeger;Intersport Haeger;Schlo?stra?e 85;51429 Bergisch Gladbach;02204 52314;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
208;4808;Uli Haeger;Intersport Haeger;Schlo?stra?e 85;51429 Bergisch Gladbach;02204 52314;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
209;7240;Dagmar Demmrich;Delikatessen Haupt;Schlo?stra?e 26;51429 Bergisch Gladbach;02204 56667;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
210;8079;Dagmar Demmrich;Delikatessen Haupt;Schlo?stra?e 26;51429 Bergisch Gladbach;02204 56667;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
211;2424;Dagmar Demmrich;Delikatessen Haupt;Schlo?stra?e 26;51429 Bergisch Gladbach;02204 56667;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
212;3673;Kati Kratz;Kati Kratz Yoga;Unter den Buchen 3;51469 Bergisch Gladbach;katikratz-yoga@web.de;;;Gutschein f?r 1 x Einzelstunde;80,00;Rosemarie Hagemann;im Gesch?ft;Clementine;;;;;;;
213;8901;Kati Kratz;Kati Kratz Yoga;Unter den Buchen 3;51469 Bergisch Gladbach;katikratz-yoga@web.de;;;Gutschein f?r 5 x Kursteilnahme;50,00;Rosemarie Hagemann;im Gesch?ft;Clementine;;;;;;;
214;2395;Farshid u. Sabine Taghizad;CATWALK ;Schlo?str.29a;51429 Bergisch Gladbach;catwalk.moden@yahoo.de;;;Gutschein;20,00;Martina Uedelhoven;Anna;Martina;;;;;;;
215;1528;Farshid u. Sabine Taghizad;CATWALK ;Schlo?str.29a;51429 Bergisch Gladbach;catwalk.moden@yahoo.de;;;Gutschein;20,00;Martina Uedelhoven;Anna;Martina;;;;;;;
216;7744;Farshid u. Sabine Taghizad;CATWALK ;Schlo?str.29a;51429 Bergisch Gladbach;catwalk.moden@yahoo.de;;;Gutschein;20,00;Martina Uedelhoven;Anna;Martina;;;;;;;
217;4827;Frank Klingauf;St. Johannis Apotheke;Siebenmorgen 18;51427 Bergisch Gladbach;; 300,00 ;;;;Elke D?rrenhaus;;Martina;;;;;;;
218;5933;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 1;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
219;9683;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 2;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
220;9447;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 3;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
221;8171;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 4;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
222;6610;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 5;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
223;3357;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 6;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
224;3930;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 7;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
225;1303;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 8;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
226;6437;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 9;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
227;4567;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 10;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
228;1940;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 11;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
229;4006;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 12;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
230;7633;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 13;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
231;896;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 14;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
232;7813;Markus Kerkhoff;Schlossapotheke im Kaufland;Refrather Weg 15;51465 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
233;8046;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
234;6508;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
235;9713;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
236;1811;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
237;648;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
238;4681;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
239;6833;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
240;2364;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
241;3871;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
242;8389;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
243;9768;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
244;3420;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
245;6474;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
246;2194;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
247;8081;Markus Kerkhoff;Schlossapotheke ;Schlossstr. 10;51429 Bergisch Gladbach;;;;Gutschein;20,00;Anette Offermann;im Gesch?ft;Martina;;;;;;;
248;7169;Diana Berger-Blatt, Imke M?ller;Im Wohnzimmer;Schillerstra?e 22;51503 R?srath;info@im-wohnzimmer.dei;;;Gutschein Kreativworkshop;20,00;Andrea Siebert;Wohnzimmer;Andrea;;;;;;;
249;6764;Diana Berger-Blatt, Imke M?ller;Im Wohnzimmer;Schillerstra?e 22;51503 R?srath;info@im-wohnzimmer.dei;;;Gutschein Kreativworkshop;20,00;Andrea Siebert;Wohnzimmer;Andrea;;;;;;;
250;717;Diana Berger-Blatt, Imke M?ller;Im Wohnzimmer;Schillerstra?e 22;51503 R?srath;info@im-wohnzimmer.dei;;;Gutschein Kreativworkshop;20,00;Andrea Siebert;Wohnzimmer;Andrea;;;;;;;
251;7193;Diana Berger-Blatt, Imke M?ller;Im Wohnzimmer;Schillerstra?e 22;51503 R?srath;info@im-wohnzimmer.dei;;;Gutschein Kreativworkshop;20,00;Andrea Siebert;Wohnzimmer;Andrea;;;;;;;
252;36;Diana Berger-Blatt, Imke M?ller;Im Wohnzimmer;Schillerstra?e 22;51503 R?srath;info@im-wohnzimmer.dei;;;Gutschein Kreativworkshop;20,00;Andrea Siebert;Wohnzimmer;Andrea;;;;;;;
253;8472;Volker Brock;Brock Reiseb?ro;Hauptstra?e 23-25;51503 R?srath;service@brock-reisen.de;;;Reisegutschein;100,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
254;832;Volker Brock;Brock Reiseb?ro;Hauptstra?e 23-25;51503 R?srath;service@brock-reisen.de;;;Reisegutschein;50,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
255;818;Andre Hennes;Hennes Optik;Im Weidenauel 1;51503 R?srath;mail@hennes-optik-hoerakustik.de;;;Gutschein;50,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
256;9117;Andre Hennes;Hennes Optik;Im Weidenauel 1;51503 R?srath;mail@hennes-optik-hoerakustik.de;;;Gutschein;50,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
257;9162;Andre Hennes;Hennes Optik;Im Weidenauel 1;51503 R?srath;mail@hennes-optik-hoerakustik.de;;;Gutschein;50,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
258;2253;Kemal G?m?shan;Garten begeistert;Jahnstra?e 10;51503 R?srath;info@garten-begeistert.de;;;Gutschein;15,00;Andrea Siebert;Im Garten;Andrea;;;;;;;
259;4156;Kemal G?m?shan;Garten begeistert;Jahnstra?e 10;51503 R?srath;info@garten-begeistert.de;;;Gutschein;15,00;Andrea Siebert;Im Garten;Andrea;;;;;;;
260;9234;Kemal G?m?shan;Garten begeistert;Jahnstra?e 10;51503 R?srath;info@garten-begeistert.de;;;Gutschein;15,00;Andrea Siebert;Im Garten;Andrea;;;;;;;
261;8689;Bernd K?rber;Optik Gummersbach;Hauptstra?e 74;51503 R?srath;info@optik-gummersbach.de; 80,00 ;Gutschein ?;;;Andrea Siebert;;Andrea;;;;;;;
262;8103;J?rg Klug;Bosbach;Hauptstra?e 34;51503 R?srath;werkatatt-bosbach@gmx.de;;;Gutschein;20,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
263;1612;Ashraf Hossain;Fachwerk;Hauptstr?e 215;51503 R?srath;fachwerk.hoffnungsthal@gmail.com;;;Gutschein;20,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
264;7589;Ashraf Hossain;Fachwerk;Hauptstr?e 215;51503 R?srath;fachwerk.hoffnungsthal@gmail.com;;;Gutschein;20,00;Andrea Siebert;Andrea ;Andrea;;;;;;;
265;1281;Golfclub der L?derich;Golfclub Der L?derich;Am Golfplatz 1;51491 Overath;info@gc-luederich.de;;;Gutschein Golf Schnupperkurs;;Rosemarie Hagemann;Anna;Clementine;;;;;;;
266;2023;Golfclub der L?derich;Golfclub Der L?derich;Am Golfplatz 1;51491 Overath;info@gc-luederich.de;;;Gutschein Golf Schnupperkurs;;Rosemarie Hagemann;Anna;Clementine;;;;;;;
267;9165;Golfclub der L?derich;Golfclub Der L?derich;Am Golfplatz 1;51491 Overath;info@gc-luederich.de;;;Gutschein Golf Schnupperkurs;;Rosemarie Hagemann;Anna;Clementine;;;;;;;
268;8653;Golfclub der L?derich;Golfclub Der L?derich;Am Golfplatz 1;51491 Overath;info@gc-luederich.de;;;Gutschein Golf Schnupperkurs;;Rosemarie Hagemann;Anna;Clementine;;;;;;;
269;9762;Golfclub der L?derich;Golfclub Der L?derich;Am Golfplatz 1;51491 Overath;info@gc-luederich.de;;;Familienkarte Adventure Mini Golf;;Rosemarie Hagemann;Anna;Clementine;;;;;;;
270;4153;Golfclub der L?derich;Golfclub Der L?derich;Am Golfplatz 1;51491 Overath;info@gc-luederich.de;;;Familienkarte Adventure Mini Golf;;Rosemarie Hagemann;Anna;Clementine;;;;;;;
271;2659;Golfclub der L?derich;Golfclub Der L?derich;Am Golfplatz 1;51491 Overath;info@gc-luederich.de;;;Gutschein Restaurant Bergwerk;20,00;Rosemarie Hagemann;Anna;Clementine;;;;;;;
272;9346;Golfclub der L?derich;Golfclub Der L?derich;Am Golfplatz 1;51491 Overath;info@gc-luederich.de;;;Gutschein Restaurant Bergwerk;20,00;Rosemarie Hagemann;Anna;Clementine;;;;;;;
273;3922;Frau Kohorst;Wein & Fein;Bertram-Blank Str. 8A;51427 Bergisch Gladbach;02204/9199449;;;Gutschein;10,00;Elke D?rrenhaus u. Ulla Freund;;Martina;;;;;;;
